,additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker,maturity,volume,price,days since last trade
0,,OPASPS,put,,american,2023-03-31,BATO,100,110,O:AAPL230331P00110000,AAPL,0.010958904109589041,1,0.01,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,115,O:AAPL230331P00115000,AAPL,0.010958904109589041,6,0.01,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,120,O:AAPL230331P00120000,AAPL,0.010958904109589041,11,0.01,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,125,O:AAPL230331P00125000,AAPL,0.010958904109589041,33,0.0125,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,130,O:AAPL230331P00130000,AAPL,0.010958904109589041,27,0.0109,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,131,O:AAPL230331P00131000,AAPL,0.010958904109589041,4,0.01,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,132,O:AAPL230331P00132000,AAPL,0.010958904109589041,14,0.0105,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,133,O:AAPL230331P00133000,AAPL,0.010958904109589041,16,0.01,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,134,O:AAPL230331P00134000,AAPL,0.010958904109589041,20,0.0109,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,135,O:AAPL230331P00135000,AAPL,0.010958904109589041,20,0.02,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,136,O:AAPL230331P00136000,AAPL,0.010958904109589041,9,0.0195,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,137,O:AAPL230331P00137000,AAPL,0.010958904109589041,13,0.0148,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,138,O:AAPL230331P00138000,AAPL,0.010958904109589041,29,0.0158,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,139,O:AAPL230331P00139000,AAPL,0.010958904109589041,49,0.0195,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,140,O:AAPL230331P00140000,AAPL,0.010958904109589041,133,0.0242,-1.0
0,,OPASPS,put,,american,2023-03-31,BATO,100,141,O:AAPL230331P00141000,AAPL,0.010958904109589041,37,0.0269,-1.0
