ticker,strike_price,expiration_date,open,high,low,close,volume,vwap,timestamp,transactions,otc
O:AAPL230421C00050000,50.0,2023-04-21,111.25,111.25,111.25,111.25,4,111.25,2023-04-10,1,
O:AAPL230421C00050000,50.0,2023-04-21,117.85,117.99,117.85,117.99,12,117.8617,2023-04-19,2,
O:AAPL230421C00050000,50.0,2023-04-21,117.51,117.51,117.51,117.51,1,117.51,2023-04-20,1,
O:AAPL230421C00050000,50.0,2023-04-21,114.95,116.15,114.75,114.75,26,115.0135,2023-04-21,6,
O:AAPL230421C00060000,60.0,2023-04-21,106.9,106.9,106.9,106.9,5,106.9,2023-04-20,1,
O:AAPL230421C00060000,60.0,2023-04-21,106.0,106.0,104.75,104.75,29,104.9707,2023-04-21,6,
O:AAPL230421C00065000,65.0,2023-04-21,99.83,99.83,99.83,99.83,1,99.83,2023-04-13,1,
O:AAPL230421C00065000,65.0,2023-04-21,99.6,99.6,99.6,99.6,1,99.6,2023-04-17,1,
O:AAPL230421C00065000,65.0,2023-04-21,100.3,100.3,100.3,100.3,1,100.3,2023-04-21,1,
O:AAPL230421C00070000,70.0,2023-04-21,96.1,96.1,96.1,96.1,1,96.1,2023-04-18,1,
O:AAPL230421C00070000,70.0,2023-04-21,95.68,95.68,95.68,95.68,2,95.68,2023-04-21,1,
O:AAPL230421C00080000,80.0,2023-04-21,84.42,84.7,84.42,84.7,14,84.52,2023-04-17,3,
O:AAPL230421C00080000,80.0,2023-04-21,85.1,85.1,85.1,85.1,10,85.1,2023-04-21,1,
O:AAPL230421C00085000,85.0,2023-04-21,82.19,82.28,82.12,82.12,464,82.2196,2023-04-19,8,
O:AAPL230421C00085000,85.0,2023-04-21,82.75,82.75,82.41,82.41,153,82.7344,2023-04-20,3,
O:AAPL230421C00090000,90.0,2023-04-21,71.45,71.45,71.45,71.45,1,71.45,2023-04-12,1,
O:AAPL230421C00090000,90.0,2023-04-21,75.36,75.36,75.36,75.36,1,75.36,2023-04-13,1,
O:AAPL230421C00090000,90.0,2023-04-21,75.0,75.0,75.0,75.0,2,75.0,2023-04-14,1,
O:AAPL230421C00090000,90.0,2023-04-21,76.97,77.81,76.97,77.39,105,77.6654,2023-04-20,8,
O:AAPL230421C00095000,95.0,2023-04-21,72.09,72.37,71.34,71.34,20,71.7665,2023-04-20,6,
O:AAPL230421C00095000,95.0,2023-04-21,70.65,70.65,69.8,69.93,19,70.2747,2023-04-21,4,
O:AAPL230421C00100000,100.0,2023-04-21,60.6,61.6,60.6,61.53,160,60.9619,2023-04-10,17,
O:AAPL230421C00100000,100.0,2023-04-21,60.93,61.52,60.93,61.52,18,61.2294,2023-04-11,4,
O:AAPL230421C00100000,100.0,2023-04-21,64.25,64.25,64.25,64.25,10,64.25,2023-04-13,1,
O:AAPL230421C00100000,100.0,2023-04-21,65.0,65.2,64.99,64.99,11,65.01,2023-04-14,3,
O:AAPL230421C00100000,100.0,2023-04-21,64.6,65.36,64.4,65.36,7,64.8957,2023-04-17,6,
O:AAPL230421C00100000,100.0,2023-04-21,67.0,67.0,66.41,66.41,4,66.705,2023-04-18,3,
O:AAPL230421C00100000,100.0,2023-04-21,65.95,67.88,65.95,67.88,26,67.4854,2023-04-19,7,
O:AAPL230421C00100000,100.0,2023-04-21,65.9,67.39,65.9,66.5,26,66.4904,2023-04-20,4,
O:AAPL230421C00100000,100.0,2023-04-21,66.1,66.1,64.85,64.85,65,65.8545,2023-04-21,8,
O:AAPL230421C00105000,105.0,2023-04-21,60.0,60.17,60.0,60.17,6,60.1417,2023-04-14,3,
O:AAPL230421C00105000,105.0,2023-04-21,62.15,62.15,62.15,62.15,10,62.15,2023-04-20,1,
O:AAPL230421C00105000,105.0,2023-04-21,60.0,60.02,60.0,60.02,2,60.01,2023-04-21,2,
O:AAPL230421C00110000,110.0,2023-04-21,51.87,51.87,51.87,51.87,1,51.87,2023-04-10,1,
O:AAPL230421C00110000,110.0,2023-04-21,51.55,51.55,51.0,51.0,15,51.3667,2023-04-11,4,
O:AAPL230421C00110000,110.0,2023-04-21,52.0,52.0,51.79,51.79,11,51.9809,2023-04-12,2,
O:AAPL230421C00110000,110.0,2023-04-21,52.5,55.48,52.5,55.39,394,55.2106,2023-04-13,10,
O:AAPL230421C00110000,110.0,2023-04-21,56.35,56.35,55.06,55.55,22,55.7959,2023-04-14,8,
O:AAPL230421C00110000,110.0,2023-04-21,56.01,56.72,56.01,56.72,37,56.5857,2023-04-18,2,
O:AAPL230421C00110000,110.0,2023-04-21,56.54,57.53,56.35,57.53,730,56.8363,2023-04-19,55,
O:AAPL230421C00110000,110.0,2023-04-21,56.63,56.63,56.0,56.0,2,56.315,2023-04-20,2,
O:AAPL230421C00110000,110.0,2023-04-21,54.9,55.28,54.75,54.78,118,55.0827,2023-04-21,25,
O:AAPL230421C00115000,115.0,2023-04-21,46.0,46.0,46.0,46.0,2,46.0,2023-04-11,2,
O:AAPL230421C00115000,115.0,2023-04-21,50.13,50.57,50.13,50.57,21,50.151,2023-04-13,2,
O:AAPL230421C00115000,115.0,2023-04-21,50.05,50.05,50.05,50.05,1,50.05,2023-04-14,1,
O:AAPL230421C00115000,115.0,2023-04-21,50.3,50.3,49.5,49.5,3,49.7667,2023-04-17,2,
O:AAPL230421C00115000,115.0,2023-04-21,51.62,51.62,51.62,51.62,51,51.62,2023-04-18,2,
O:AAPL230421C00115000,115.0,2023-04-21,52.35,52.57,52.35,52.57,87,52.4344,2023-04-19,5,
O:AAPL230421C00115000,115.0,2023-04-21,52.17,52.17,52.17,52.17,2,52.17,2023-04-20,1,
O:AAPL230421C00115000,115.0,2023-04-21,50.83,50.83,49.98,50.3,68,50.3109,2023-04-21,6,
O:AAPL230421C00120000,120.0,2023-04-21,41.15,41.78,41.15,41.78,3,41.57,2023-04-10,3,
O:AAPL230421C00120000,120.0,2023-04-21,41.9,41.9,41.55,41.55,2,41.725,2023-04-11,2,
O:AAPL230421C00120000,120.0,2023-04-21,41.1,41.4,40.81,41.4,12,41.3258,2023-04-12,3,
O:AAPL230421C00120000,120.0,2023-04-21,43.29,45.55,43.29,45.55,18,45.2717,2023-04-13,5,
O:AAPL230421C00120000,120.0,2023-04-21,44.9,45.49,44.86,44.9,64,44.9403,2023-04-14,19,
O:AAPL230421C00120000,120.0,2023-04-21,45.2,45.2,44.45,44.9,287,44.9323,2023-04-17,7,
O:AAPL230421C00120000,120.0,2023-04-21,46.5,46.5,46.5,46.5,10,46.5,2023-04-18,1,
O:AAPL230421C00120000,120.0,2023-04-21,46.82,47.86,46.3,47.51,194,47.4765,2023-04-19,21,
O:AAPL230421C00120000,120.0,2023-04-21,46.91,47.65,45.74,46.5,41,46.4929,2023-04-20,10,
O:AAPL230421C00120000,120.0,2023-04-21,45.4,45.54,44.64,44.9,228,45.1461,2023-04-21,49,
O:AAPL230421C00125000,125.0,2023-04-21,35.69,37.0,35.37,37.0,92,36.6087,2023-04-10,13,
O:AAPL230421C00125000,125.0,2023-04-21,37.53,37.53,36.0,36.0,23,36.5287,2023-04-11,4,
O:AAPL230421C00125000,125.0,2023-04-21,38.02,40.75,38.02,40.75,16,39.4819,2023-04-13,10,
O:AAPL230421C00125000,125.0,2023-04-21,40.26,40.26,39.06,39.06,60,39.9718,2023-04-14,7,
O:AAPL230421C00125000,125.0,2023-04-21,39.4,40.45,39.3,40.45,209,39.6189,2023-04-17,13,
O:AAPL230421C00125000,125.0,2023-04-21,41.35,41.38,40.78,41.04,47,41.2028,2023-04-18,10,
O:AAPL230421C00125000,125.0,2023-04-21,41.58,42.95,41.58,42.95,27,42.8107,2023-04-19,5,
O:AAPL230421C00125000,125.0,2023-04-21,41.72,43.0,41.71,41.71,16,42.0919,2023-04-20,11,
O:AAPL230421C00125000,125.0,2023-04-21,39.95,39.98,39.7,39.73,10,39.851,2023-04-21,7,
O:AAPL230421C00130000,130.0,2023-04-21,31.85,31.85,30.39,31.85,55,31.3593,2023-04-10,14,
O:AAPL230421C00130000,130.0,2023-04-21,31.2,31.78,31.03,31.03,9,31.5433,2023-04-11,5,
O:AAPL230421C00130000,130.0,2023-04-21,31.77,31.88,30.71,30.71,29,31.1183,2023-04-12,8,
O:AAPL230421C00130000,130.0,2023-04-21,33.28,35.34,33.28,35.34,50,34.003,2023-04-13,11,
O:AAPL230421C00130000,130.0,2023-04-21,36.2,36.2,34.43,34.86,20,35.361,2023-04-14,10,
O:AAPL230421C00130000,130.0,2023-04-21,35.5,35.5,34.5,34.55,415,34.9517,2023-04-17,10,
O:AAPL230421C00130000,130.0,2023-04-21,35.37,36.8,35.2,36.45,60,36.0035,2023-04-18,14,
O:AAPL230421C00130000,130.0,2023-04-21,36.39,37.98,36.39,37.98,14,36.6457,2023-04-19,6,
O:AAPL230421C00130000,130.0,2023-04-21,36.54,37.74,36.11,36.25,215,36.4467,2023-04-20,14,
O:AAPL230421C00130000,130.0,2023-04-21,35.08,36.3,34.7,34.78,107,35.1107,2023-04-21,22,
O:AAPL230421C00135000,135.0,2023-04-21,26.93,27.08,25.42,27.07,54,26.46,2023-04-10,42,
O:AAPL230421C00135000,135.0,2023-04-21,26.52,27.01,25.83,25.83,35,26.3409,2023-04-11,11,
O:AAPL230421C00135000,135.0,2023-04-21,26.27,26.62,25.4,25.52,131,25.835,2023-04-12,18,
O:AAPL230421C00135000,135.0,2023-04-21,27.77,30.95,27.77,30.73,234,29.3939,2023-04-13,77,
O:AAPL230421C00135000,135.0,2023-04-21,29.93,30.59,29.35,30.2,136,30.0862,2023-04-14,32,
O:AAPL230421C00135000,135.0,2023-04-21,29.75,30.3,29.35,30.3,317,29.5434,2023-04-17,51,
O:AAPL230421C00135000,135.0,2023-04-21,31.24,31.7,30.81,31.7,112,31.2679,2023-04-18,22,
O:AAPL230421C00135000,135.0,2023-04-21,31.4,33.0,30.73,32.82,121,32.6179,2023-04-19,29,
O:AAPL230421C00135000,135.0,2023-04-21,31.91,33.0,30.75,30.96,98,32.2447,2023-04-20,26,
O:AAPL230421C00135000,135.0,2023-04-21,30.35,30.68,29.75,29.76,117,30.0231,2023-04-21,42,
O:AAPL230421C00137000,137.0,2023-04-21,24.25,24.25,24.25,24.25,9,24.25,2023-04-12,1,
O:AAPL230421C00137000,137.0,2023-04-21,26.8,26.9,26.8,26.9,5,26.83,2023-04-13,5,
O:AAPL230421C00137000,137.0,2023-04-21,28.03,28.03,27.65,27.65,4,27.745,2023-04-14,2,
O:AAPL230421C00137000,137.0,2023-04-21,28.25,28.25,28.1,28.1,7,28.1857,2023-04-17,5,
O:AAPL230421C00137000,137.0,2023-04-21,30.7,30.7,30.7,30.7,7,30.7,2023-04-19,1,
O:AAPL230421C00137000,137.0,2023-04-21,30.04,30.04,30.04,30.04,1,30.04,2023-04-20,1,
O:AAPL230421C00137000,137.0,2023-04-21,28.0,28.0,28.0,28.0,1,28.0,2023-04-21,1,
O:AAPL230421C00138000,138.0,2023-04-21,24.25,25.56,24.25,25.56,2,24.905,2023-04-13,2,
O:AAPL230421C00138000,138.0,2023-04-21,26.68,26.83,26.68,26.83,12,26.7925,2023-04-14,2,
O:AAPL230421C00138000,138.0,2023-04-21,29.15,29.15,29.15,29.15,1,29.15,2023-04-19,1,
O:AAPL230421C00138000,138.0,2023-04-21,29.73,29.73,29.73,29.73,1,29.73,2023-04-20,1,
O:AAPL230421C00138000,138.0,2023-04-21,27.46,27.46,26.86,26.86,11,27.0264,2023-04-21,3,
O:AAPL230421C00139000,139.0,2023-04-21,22.1,22.1,22.1,22.1,1,22.1,2023-04-12,1,
O:AAPL230421C00139000,139.0,2023-04-21,26.25,26.25,26.25,26.25,1,26.25,2023-04-13,1,
O:AAPL230421C00139000,139.0,2023-04-21,25.29,25.29,25.29,25.29,1,25.29,2023-04-17,1,
O:AAPL230421C00139000,139.0,2023-04-21,26.35,26.35,26.0,26.0,2,26.175,2023-04-21,2,
O:AAPL230421C00140000,140.0,2023-04-21,22.05,22.15,20.5,22.15,114,21.6434,2023-04-10,40,
