,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL240105C00140000,0.005479452054794521,0.05,43.89,1,140.0,43.89
1,O:AAPL240105C00155000,0.005479452054794521,0.10909090909090909,30.265,1,155.0,30.37
2,O:AAPL240105C00160000,0.005479452054794521,0.06666666666666667,24.0767,1,160.0,23.8
3,O:AAPL240105C00165000,0.005479452054794521,0.02952029520295203,19.2312,1,165.0,20.42
4,O:AAPL240105C00167500,0.005479452054794521,0.05128205128205128,16.45,1,167.5,16.45
5,O:AAPL240105C00170000,0.005479452054794521,0.039589442815249266,14.2909,1,170.0,15.0
6,O:AAPL240105C00172500,0.005479452054794521,0.21414538310412573,11.9372,1,172.5,12.05
7,O:AAPL240105C00175000,0.005479452054794521,0.14579684763572678,9.6092,1,175.0,9.33
8,O:AAPL240105C00177500,0.005479452054794521,0.06669207317073171,6.7291,1,177.5,8.55
9,O:AAPL240105C00180000,0.005479452054794521,0.02575389264831483,4.5595,1,180.0,4.75
10,O:AAPL240105C00182500,0.005479452054794521,0.04294563899986533,2.4639,1,182.5,2.71
11,O:AAPL240105C00185000,0.005479452054794521,0.2001774866699342,1.0465,1,185.0,1.23
12,O:AAPL240105C00187500,0.005479452054794521,0.29210080484539,0.325,1,187.5,0.42
13,O:AAPL240105C00190000,0.005479452054794521,0.279784117932468,0.0971,1,190.0,0.15
14,O:AAPL240105C00192500,0.005479452054794521,0.14845095356884203,0.0417,1,192.5,0.06
15,O:AAPL240105C00195000,0.005479452054794521,0.06889204116741617,0.0246,1,195.0,0.05
16,O:AAPL240105C00197500,0.005479452054794521,0.04642742755288187,0.0122,1,197.5,0.02
17,O:AAPL240105C00200000,0.005479452054794521,0.04651089108910891,0.0102,1,200.0,0.02
18,O:AAPL240105C00202500,0.005479452054794521,0.006756494389003223,0.01,1,202.5,0.01
19,O:AAPL240105C00205000,0.005479452054794521,0.009192003599665745,0.01,1,205.0,0.01
20,O:AAPL240105C00207500,0.005479452054794521,0.001589319771137953,0.01,1,207.5,0.01
21,O:AAPL240105C00210000,0.005479452054794521,0.003189792663476874,0.01,1,210.0,0.01
22,O:AAPL240105C00215000,0.005479452054794521,0.011472275334608031,0.01,1,215.0,0.01
23,O:AAPL240105P00135000,0.005479452054794521,0.9259259259259259,0.01,1,135.0,0.01
24,O:AAPL240105P00155000,0.005479452054794521,0.039711191335740074,0.01,1,155.0,0.01
25,O:AAPL240105P00160000,0.005479452054794521,0.19357429718875502,0.0141,1,160.0,0.02
26,O:AAPL240105P00162500,0.005479452054794521,0.8069529652351738,0.0101,1,162.5,0.02
27,O:AAPL240105P00165000,0.005479452054794521,0.021202584064932913,0.0101,1,165.0,0.01
28,O:AAPL240105P00167500,0.005479452054794521,0.1899965858654831,0.0197,1,167.5,0.01
29,O:AAPL240105P00170000,0.005479452054794521,0.027695821833063673,0.0211,1,170.0,0.02
30,O:AAPL240105P00172500,0.005479452054794521,0.02220270336212365,0.0308,1,172.5,0.04
31,O:AAPL240105P00175000,0.005479452054794521,0.050053086607007434,0.0449,1,175.0,0.06
32,O:AAPL240105P00177500,0.005479452054794521,0.08535815190294166,0.0825,1,177.5,0.11
33,O:AAPL240105P00180000,0.005479452054794521,0.1327697920170319,0.2257,1,180.0,0.29
34,O:AAPL240105P00182500,0.005479452054794521,0.26964914829477354,0.6012,1,182.5,0.77
35,O:AAPL240105P00185000,0.005479452054794521,0.28334736588886217,1.5531,1,185.0,1.81
36,O:AAPL240105P00187500,0.005479452054794521,0.07275018441111385,3.2135,1,187.5,3.7
37,O:AAPL240105P00190000,0.005479452054794521,0.021324028302801203,5.6183,1,190.0,5.7
38,O:AAPL240105P00192500,0.005479452054794521,0.28418324178406906,7.942,1,192.5,8.49
39,O:AAPL240105P00195000,0.005479452054794521,0.32973413752864594,10.3374,1,195.0,10.6
40,O:AAPL240105P00197500,0.005479452054794521,0.7284023668639054,12.8449,1,197.5,12.3
41,O:AAPL240105P00200000,0.005479452054794521,0.7105263157894737,15.3448,1,200.0,15.5
42,O:AAPL240105P00202500,0.005479452054794521,0.6465931580435397,17.8361,1,202.5,18.12
43,O:AAPL240105P00205000,0.005479452054794521,0.4588859416445623,20.8558,1,205.0,20.62
44,O:AAPL240112C00155000,0.024657534246575342,0.04100652376514446,30.21,1,155.0,30.55
45,O:AAPL240112C00165000,0.024657534246575342,0.001567398119122257,20.68,1,165.0,20.68
46,O:AAPL240112C00167500,0.024657534246575342,0.13043478260869565,16.95,1,167.5,16.95
47,O:AAPL240112C00170000,0.024657534246575342,0.05248744865358284,14.8401,1,170.0,15.6
48,O:AAPL240112C00172500,0.024657534246575342,0.005076142131979695,12.1167,1,172.5,12.0
49,O:AAPL240112C00175000,0.024657534246575342,0.014927994380049174,10.0493,1,175.0,10.91
50,O:AAPL240112C00177500,0.024657534246575342,0.022025667707249393,7.4874,1,177.5,7.85
51,O:AAPL240112C00180000,0.024657534246575342,0.01670604117448532,5.4494,1,180.0,5.65
52,O:AAPL240112C00182500,0.024657534246575342,0.010596979825117763,3.754,1,182.5,3.75
53,O:AAPL240112C00185000,0.024657534246575342,0.02365191095751169,2.1332,1,185.0,2.25
54,O:AAPL240112C00187500,0.024657534246575342,0.03300100994713293,1.2121,1,187.5,1.21
55,O:AAPL240112C00190000,0.024657534246575342,0.04619440048524871,0.5393,1,190.0,0.63
56,O:AAPL240112C00192500,0.024657534246575342,0.051084421329186884,0.2477,1,192.5,0.3
57,O:AAPL240112C00195000,0.024657534246575342,0.0517502235059487,0.1158,1,195.0,0.14
58,O:AAPL240112C00197500,0.024657534246575342,0.15264647437827422,0.0559,1,197.5,0.08
59,O:AAPL240112C00200000,0.024657534246575342,0.15589789610130622,0.0377,1,200.0,0.05
60,O:AAPL240112C00202500,0.024657534246575342,0.032171581769437,0.0277,1,202.5,0.04
61,O:AAPL240112C00205000,0.024657534246575342,0.03595952294904228,0.0185,1,205.0,0.02
62,O:AAPL240112C00207500,0.024657534246575342,0.1483375959079284,0.0152,1,207.5,0.02
63,O:AAPL240112C00210000,0.024657534246575342,0.13176265270506107,0.0131,1,210.0,0.02
64,O:AAPL240112C00212500,0.024657534246575342,0.24175824175824176,0.01,1,212.5,0.01
65,O:AAPL240112C00215000,0.024657534246575342,0.11666666666666667,0.01,1,215.0,0.01
66,O:AAPL240112P00135000,0.024657534246575342,0.26508226691042047,0.01,1,135.0,0.01
67,O:AAPL240112P00140000,0.024657534246575342,0.03888888888888889,0.0108,1,140.0,0.01
68,O:AAPL240112P00145000,0.024657534246575342,0.12562814070351758,0.02,1,145.0,0.02
69,O:AAPL240112P00150000,0.024657534246575342,0.0071174377224199285,0.0167,1,150.0,0.02
70,O:AAPL240112P00155000,0.024657534246575342,0.022516556291390728,0.03,1,155.0,0.03
71,O:AAPL240112P00160000,0.024657534246575342,0.07138744962579159,0.0419,1,160.0,0.04
72,O:AAPL240112P00162500,0.024657534246575342,0.08960176991150443,0.0494,1,162.5,0.05
73,O:AAPL240112P00165000,0.024657534246575342,0.42764778325123154,0.0609,1,165.0,0.07
74,O:AAPL240112P00167500,0.024657534246575342,0.031239446133063155,0.0809,1,167.5,0.09
75,O:AAPL240112P00170000,0.024657534246575342,0.03340791213261467,0.1184,1,170.0,0.13
76,O:AAPL240112P00172500,0.024657534246575342,0.04464446444644465,0.1749,1,172.5,0.18
77,O:AAPL240112P00175000,0.024657534246575342,0.04509659399487936,0.2762,1,175.0,0.31
78,O:AAPL240112P00177500,0.024657534246575342,0.05317415768793724,0.4416,1,177.5,0.49
79,O:AAPL240112P00180000,0.024657534246575342,0.03838243662829588,0.8183,1,180.0,0.94
80,O:AAPL240112P00182500,0.024657534246575342,0.09374337321577517,1.4849,1,182.5,1.6
81,O:AAPL240112P00185000,0.024657534246575342,0.04114802344554924,2.4764,1,185.0,2.76
82,O:AAPL240112P00187500,0.024657534246575342,0.05069968727295701,3.9522,1,187.5,4.1
83,O:AAPL240112P00190000,0.024657534246575342,0.06913459181171856,5.9184,1,190.0,5.96
84,O:AAPL240112P00192500,0.024657534246575342,0.011961875519733897,8.2124,1,192.5,8.42
85,O:AAPL240112P00195000,0.024657534246575342,0.4217850666246156,10.4763,1,195.0,10.64
86,O:AAPL240112P00197500,0.024657534246575342,0.14620496677159847,12.8438,1,197.5,13.51
87,O:AAPL240112P00200000,0.024657534246575342,0.29436206305035645,15.3389,1,200.0,15.95
88,O:AAPL240112P00205000,0.024657534246575342,0.23798798798798798,20.312,1,205.0,21.2
89,O:AAPL240112P00210000,0.024657534246575342,0.9523809523809523,25.45,1,210.0,25.45
