,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL231208C00050000,0.00821917808219178,0.5,143.325,1,50.0,142.8
1,O:AAPL231208C00065000,0.00821917808219178,0.35,128.0143,1,65.0,127.8
2,O:AAPL231208C00160000,0.00821917808219178,0.0058823529411764705,33.81,1,160.0,33.81
3,O:AAPL231208C00165000,0.00821917808219178,0.00819672131147541,28.02,1,165.0,28.02
4,O:AAPL231208C00167500,0.00821917808219178,0.02857142857142857,25.3167,1,167.5,24.65
5,O:AAPL231208C00170000,0.00821917808219178,0.11385305664610207,23.2,1,170.0,20.55
6,O:AAPL231208C00172500,0.00821917808219178,0.055,20.0682,1,172.5,20.0
7,O:AAPL231208C00175000,0.00821917808219178,0.08605341246290801,18.573,1,175.0,17.28
8,O:AAPL231208C00177500,0.00821917808219178,0.003738317757009346,14.545,1,177.5,13.1
9,O:AAPL231208C00180000,0.00821917808219178,0.1081991081991082,13.1192,1,180.0,10.3
10,O:AAPL231208C00182500,0.00821917808219178,0.027356902356902357,10.8005,1,182.5,8.5
11,O:AAPL231208C00185000,0.00821917808219178,0.11904142550562528,8.3008,1,185.0,5.52
12,O:AAPL231208C00187500,0.00821917808219178,0.0912695972948048,5.4627,1,187.5,3.15
13,O:AAPL231208C00190000,0.00821917808219178,0.13543700647189577,3.0952,1,190.0,1.55
14,O:AAPL231208C00192500,0.00821917808219178,0.30694954440364475,1.7373,1,192.5,0.49
15,O:AAPL231208C00195000,0.00821917808219178,0.21066715098680228,0.744,1,195.0,0.13
16,O:AAPL231208C00197500,0.00821917808219178,0.20763265240314077,0.2277,1,197.5,0.03
17,O:AAPL231208C00200000,0.00821917808219178,0.34566227435448243,0.0698,1,200.0,0.01
18,O:AAPL231208C00202500,0.00821917808219178,0.4313401442307692,0.0234,1,202.5,0.01
19,O:AAPL231208C00205000,0.00821917808219178,0.38786244099797706,0.0107,1,205.0,0.01
20,O:AAPL231208C00207500,0.00821917808219178,0.08609271523178808,0.01,1,207.5,0.01
21,O:AAPL231208C00210000,0.00821917808219178,0.0018050541516245488,0.01,1,210.0,0.01
22,O:AAPL231208P00050000,0.00821917808219178,0.9382352941176471,0.01,1,50.0,0.01
23,O:AAPL231208P00060000,0.00821917808219178,0.9890710382513661,0.01,1,60.0,0.01
24,O:AAPL231208P00135000,0.00821917808219178,0.030779753761969904,0.01,1,135.0,0.01
25,O:AAPL231208P00155000,0.00821917808219178,0.002827521206409048,0.01,1,155.0,0.01
26,O:AAPL231208P00160000,0.00821917808219178,0.0011976047904191617,0.01,1,160.0,0.01
27,O:AAPL231208P00162500,0.00821917808219178,0.9492151431209603,0.01,1,162.5,0.01
28,O:AAPL231208P00165000,0.00821917808219178,0.41486928104575166,0.01,1,165.0,0.01
29,O:AAPL231208P00167500,0.00821917808219178,0.6300207756232687,0.01,1,167.5,0.01
30,O:AAPL231208P00170000,0.00821917808219178,0.4256064016004001,0.01,1,170.0,0.01
31,O:AAPL231208P00172500,0.00821917808219178,0.2496757457846952,0.01,1,172.5,0.01
32,O:AAPL231208P00175000,0.00821917808219178,0.052986125075407196,0.0115,1,175.0,0.02
33,O:AAPL231208P00177500,0.00821917808219178,0.1293963254593176,0.0144,1,177.5,0.02
34,O:AAPL231208P00180000,0.00821917808219178,0.13448840526121178,0.0242,1,180.0,0.03
35,O:AAPL231208P00182500,0.00821917808219178,0.17342482844666252,0.034,1,182.5,0.08
36,O:AAPL231208P00185000,0.00821917808219178,0.11580992229527795,0.0635,1,185.0,0.16
37,O:AAPL231208P00187500,0.00821917808219178,0.2303027191927488,0.1408,1,187.5,0.47
38,O:AAPL231208P00190000,0.00821917808219178,0.2877315165728859,0.3869,1,190.0,1.23
39,O:AAPL231208P00192500,0.00821917808219178,0.2807726906426282,0.9958,1,192.5,2.5
40,O:AAPL231208P00195000,0.00821917808219178,0.12811434738546176,2.1836,1,195.0,4.01
41,O:AAPL231208P00197500,0.00821917808219178,0.1478069037113937,4.0889,1,197.5,6.15
42,O:AAPL231208P00200000,0.00821917808219178,0.21652421652421652,6.6536,1,200.0,9.8
43,O:AAPL231208P00202500,0.00821917808219178,0.11409395973154363,9.4414,1,202.5,10.25
44,O:AAPL231208P00205000,0.00821917808219178,0.32666666666666666,11.9514,1,205.0,12.9
45,O:AAPL231208P00207500,0.00821917808219178,0.02631578947368421,13.6,1,207.5,13.6
46,O:AAPL231208P00210000,0.00821917808219178,0.08418891170431211,16.9317,1,210.0,16.2
47,O:AAPL231208P00215000,0.00821917808219178,0.022222222222222223,21.275,1,215.0,21.05
48,O:AAPL231215C00130000,0.0273972602739726,0.006459948320413436,63.796,1,130.0,63.05
49,O:AAPL231215C00135000,0.0273972602739726,0.1073170731707317,58.3409,1,135.0,58.35
50,O:AAPL231215C00140000,0.0273972602739726,0.046632124352331605,52.9533,1,140.0,51.09
51,O:AAPL231215C00150000,0.0273972602739726,0.01591187270501836,43.5069,1,150.0,42.11
52,O:AAPL231215C00155000,0.0273972602739726,0.002741266605749631,37.2236,1,155.0,35.63
53,O:AAPL231215C00160000,0.0273972602739726,0.01453104359313078,33.0038,1,160.0,30.33
54,O:AAPL231215C00165000,0.0273972602739726,0.058704453441295545,29.0572,1,165.0,28.21
55,O:AAPL231215C00170000,0.0273972602739726,0.015569437770302738,23.8688,1,170.0,20.38
56,O:AAPL231215C00172500,0.0273972602739726,0.02654867256637168,19.7,1,172.5,19.25
57,O:AAPL231215C00175000,0.0273972602739726,0.17034700315457413,18.5294,1,175.0,15.7
58,O:AAPL231215C00177500,0.0273972602739726,0.002105263157894737,16.4625,1,177.5,16.1
59,O:AAPL231215C00180000,0.0273972602739726,0.10296652121301016,13.6244,1,180.0,11.54
60,O:AAPL231215C00182500,0.0273972602739726,0.036476381542950936,11.2156,1,182.5,9.6
61,O:AAPL231215C00185000,0.0273972602739726,0.06517132767013457,8.7362,1,185.0,6.2
62,O:AAPL231215C00187500,0.0273972602739726,0.13916162031865484,6.5363,1,187.5,4.35
63,O:AAPL231215C00190000,0.0273972602739726,0.08071486449986495,4.5916,1,190.0,2.58
64,O:AAPL231215C00192500,0.0273972602739726,0.07666809311298134,2.7389,1,192.5,1.35
65,O:AAPL231215C00195000,0.0273972602739726,0.09552022676885147,1.5991,1,195.0,0.63
66,O:AAPL231215C00197500,0.0273972602739726,0.034047536776245856,0.817,1,197.5,0.27
67,O:AAPL231215C00200000,0.0273972602739726,0.033350787291165356,0.3879,1,200.0,0.11
68,O:AAPL231215C00202500,0.0273972602739726,0.028822636080249382,0.1771,1,202.5,0.05
69,O:AAPL231215C00205000,0.0273972602739726,0.03280513748334891,0.0868,1,205.0,0.03
70,O:AAPL231215C00207500,0.0273972602739726,0.048452438826770375,0.0435,1,207.5,0.03
71,O:AAPL231215C00210000,0.0273972602739726,0.20758794573178052,0.0303,1,210.0,0.01
72,O:AAPL231215C00212500,0.0273972602739726,0.016016241822693435,0.0208,1,212.5,0.01
73,O:AAPL231215C00215000,0.0273972602739726,0.12654867256637167,0.0109,1,215.0,0.01
74,O:AAPL231215C00220000,0.0273972602739726,0.3827751196172249,0.01,1,220.0,0.01
75,O:AAPL231215C00235000,0.0273972602739726,0.5263157894736842,0.01,1,235.0,0.01
