,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230915C00065000,0.0007420091324200913,0.8434108527131783,110.0873,1,65.0,110.9
1,O:AAPL230915C00070000,0.0007420091324200913,0.7861111111111111,105.1212,1,70.0,105.7
2,O:AAPL230915C00075000,0.0007420091324200913,0.8601823708206687,100.077,1,75.0,100.75
3,O:AAPL230915C00080000,0.0007420091324200913,0.9616858237547893,95.1572,2,80.0,95.85
4,O:AAPL230915C00085000,0.0007420091324200913,0.9575163398692811,90.0348,1,85.0,90.85
5,O:AAPL230915C00090000,0.0007420091324200913,0.9174757281553398,85.1242,1,90.0,85.85
6,O:AAPL230915C00095000,0.0007420091324200913,0.9723926380368099,80.0489,1,95.0,80.6
7,O:AAPL230915C00100000,0.0007420091324200913,0.8657289002557544,74.9363,1,100.0,76.3
8,O:AAPL230915C00105000,0.0007420091324200913,0.954248366013072,70.0825,1,105.0,70.9
9,O:AAPL230915C00110000,0.0007420091324200913,0.966804979253112,64.9634,1,110.0,65.3
10,O:AAPL230915C00115000,0.0007420091324200913,0.9391025641025641,60.0085,1,115.0,60.35
11,O:AAPL230915C00120000,0.0007420091324200913,0.822866344605475,54.9792,1,120.0,56.0
12,O:AAPL230915C00125000,0.0007420091324200913,0.9149560117302052,50.0591,1,125.0,50.7
13,O:AAPL230915C00130000,0.0007420091324200913,0.5426052889324192,44.906,1,130.0,45.65
14,O:AAPL230915C00135000,0.0007420091324200913,0.25734710087370927,39.9773,1,135.0,40.85
15,O:AAPL230915C00140000,0.0007420091324200913,0.3125406107862248,34.9438,1,140.0,36.35
16,O:AAPL230915C00145000,0.0007420091324200913,0.31210191082802546,30.0959,1,145.0,30.7
17,O:AAPL230915C00150000,0.0007420091324200913,0.17853231106243153,24.9313,1,150.0,26.35
18,O:AAPL230915C00152500,0.0007420091324200913,0.7029914529914529,22.5326,1,152.5,23.4
19,O:AAPL230915C00155000,0.0007420091324200913,0.19206008583690987,19.9789,1,155.0,21.0
20,O:AAPL230915C00157500,0.0007420091324200913,0.5317139001349528,17.63,1,157.5,18.45
21,O:AAPL230915C00160000,0.0007420091324200913,0.16317153628652215,14.9437,1,160.0,16.55
22,O:AAPL230915C00162500,0.0007420091324200913,0.39454732510288065,12.5794,1,162.5,13.3
23,O:AAPL230915C00165000,0.0007420091324200913,0.13413071337035454,9.8347,1,165.0,11.55
