,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230609C00050000,0.0027397260273972603,0.3626373626373626,128.5621,1,50.0,127.95
1,O:AAPL230609C00080000,0.0027397260273972603,0.9090909090909091,100.1,2,80.0,100.1
2,O:AAPL230609C00100000,0.0027397260273972603,0.13043478260869565,80.0,2,100.0,80.0
3,O:AAPL230609C00125000,0.0027397260273972603,0.18518518518518517,54.832,1,125.0,54.76
4,O:AAPL230609C00135000,0.0027397260273972603,0.04411764705882353,43.5867,1,135.0,43.6
5,O:AAPL230609C00140000,0.0027397260273972603,0.022099447513812154,39.9475,1,140.0,39.14
6,O:AAPL230609C00145000,0.0027397260273972603,0.06382978723404255,34.27,1,145.0,34.27
7,O:AAPL230609C00150000,0.0027397260273972603,0.1787878787878788,29.5468,1,150.0,28.55
8,O:AAPL230609C00152500,0.0027397260273972603,0.004098360655737705,27.0,1,152.5,27.0
9,O:AAPL230609C00155000,0.0027397260273972603,0.2296954314720812,24.5741,1,155.0,23.22
10,O:AAPL230609C00157500,0.0027397260273972603,0.002188183807439825,22.5,1,157.5,22.5
11,O:AAPL230609C00160000,0.0027397260273972603,0.04378698224852071,19.3297,1,160.0,17.91
12,O:AAPL230609C00162500,0.0027397260273972603,0.14414414414414414,15.7926,1,162.5,16.0
13,O:AAPL230609C00165000,0.0027397260273972603,0.01430109180378287,14.4131,1,165.0,13.55
14,O:AAPL230609C00167500,0.0027397260273972603,0.016869095816464237,12.1616,1,167.5,11.05
15,O:AAPL230609C00170000,0.0027397260273972603,0.04366192054185936,8.584,1,170.0,8.35
16,O:AAPL230609C00172500,0.0027397260273972603,0.06659979939819459,6.6637,1,172.5,5.7
17,O:AAPL230609C00175000,0.0027397260273972603,0.027042614546619673,4.1487,1,175.0,3.26
18,O:AAPL230609C00177500,0.0027397260273972603,0.17089426367760002,1.958,1,177.5,1.45
19,O:AAPL230609C00180000,0.0027397260273972603,0.1610701487722439,0.7506,1,180.0,0.5
20,O:AAPL230609C00182500,0.0027397260273972603,0.10442379933405983,0.182,1,182.5,0.2
21,O:AAPL230609C00185000,0.0027397260273972603,0.07492241298237182,0.0457,1,185.0,0.08
22,O:AAPL230609C00187500,0.0027397260273972603,0.034740078427522046,0.0236,1,187.5,0.05
23,O:AAPL230609C00190000,0.0027397260273972603,0.05398192322146283,0.0138,1,190.0,0.02
24,O:AAPL230609C00192500,0.0027397260273972603,0.02010876863166376,0.0121,1,192.5,0.02
25,O:AAPL230609C00195000,0.0027397260273972603,0.018250369389106843,0.0105,1,195.0,0.01
26,O:AAPL230609C00197500,0.0027397260273972603,0.03162999679064294,0.01,1,197.5,0.01
27,O:AAPL230609C00200000,0.0027397260273972603,0.013812226282101117,0.01,1,200.0,0.01
28,O:AAPL230609C00202500,0.0027397260273972603,0.01258363241614604,0.01,1,202.5,0.01
29,O:AAPL230609C00205000,0.0027397260273972603,0.015225095156844731,0.01,1,205.0,0.01
30,O:AAPL230609C00215000,0.0027397260273972603,0.01839080459770115,0.01,2,215.0,0.01
31,O:AAPL230609C00235000,0.0027397260273972603,0.0026226862359408887,0.01,1,235.0,0.01
32,O:AAPL230609C00240000,0.0027397260273972603,6.406970784213224e-05,0.01,1,240.0,0.01
33,O:AAPL230609C00250000,0.0027397260273972603,8.936949819026766e-05,0.01,1,250.0,0.01
34,O:AAPL230609P00140000,0.0027397260273972603,0.05291005291005291,0.01,1,140.0,0.01
35,O:AAPL230609P00145000,0.0027397260273972603,0.0005379236148466917,0.01,1,145.0,0.01
36,O:AAPL230609P00150000,0.0027397260273972603,0.0005798221878623889,0.01,1,150.0,0.01
37,O:AAPL230609P00152500,0.0027397260273972603,0.0034674063800277394,0.01,1,152.5,0.01
38,O:AAPL230609P00155000,0.0027397260273972603,0.04659090909090909,0.01,1,155.0,0.01
39,O:AAPL230609P00157500,0.0027397260273972603,0.013437057991513438,0.01,1,157.5,0.01
40,O:AAPL230609P00160000,0.0027397260273972603,0.02550693703308431,0.0103,1,160.0,0.01
41,O:AAPL230609P00162500,0.0027397260273972603,0.3435222672064777,0.01,1,162.5,0.02
42,O:AAPL230609P00165000,0.0027397260273972603,0.031960482842094934,0.0109,1,165.0,0.02
43,O:AAPL230609P00167500,0.0027397260273972603,0.012685495452369555,0.0174,1,167.5,0.02
44,O:AAPL230609P00170000,0.0027397260273972603,0.0637538542281703,0.0208,1,170.0,0.05
45,O:AAPL230609P00172500,0.0027397260273972603,0.08109386615006871,0.0378,1,172.5,0.11
46,O:AAPL230609P00175000,0.0027397260273972603,0.14261087734019,0.1214,1,175.0,0.33
47,O:AAPL230609P00177500,0.0027397260273972603,0.19345598801528952,0.5085,1,177.5,1.03
48,O:AAPL230609P00180000,0.0027397260273972603,0.12446899293866107,1.1706,1,180.0,2.53
49,O:AAPL230609P00182500,0.0027397260273972603,0.018628945990850534,3.1215,1,182.5,4.73
