,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230922C00065000,0.0007420091324200913,0.006666666666666667,111.25,1,65.0,111.25
1,O:AAPL230922C00100000,0.0007420091324200913,0.09090909090909091,75.025,1,100.0,74.35
2,O:AAPL230922C00120000,0.0007420091324200913,0.11764705882352941,55.35,3,120.0,55.58
3,O:AAPL230922C00130000,0.0007420091324200913,0.09523809523809523,44.985,3,130.0,45.15
4,O:AAPL230922C00135000,0.0007420091324200913,0.2,39.6,1,135.0,39.6
5,O:AAPL230922C00140000,0.0007420091324200913,0.12903225806451613,35.6125,1,140.0,36.3
6,O:AAPL230922C00145000,0.0007420091324200913,0.007246376811594203,29.39,1,145.0,29.39
7,O:AAPL230922C00149000,0.0007420091324200913,0.08113590263691683,28.5388,1,149.0,26.15
8,O:AAPL230922C00150000,0.0007420091324200913,0.054778554778554776,25.5455,1,150.0,24.11
9,O:AAPL230922C00152500,0.0007420091324200913,0.0335707019328586,23.353,2,152.5,23.53
10,O:AAPL230922C00155000,0.0007420091324200913,0.2678454485920105,20.3656,1,155.0,20.02
11,O:AAPL230922C00157500,0.0007420091324200913,0.052451539338654506,18.6376,1,157.5,18.53
12,O:AAPL230922C00160000,0.0007420091324200913,0.04603669089650398,15.5185,1,160.0,14.5
13,O:AAPL230922C00162500,0.0007420091324200913,0.02902621722846442,12.9194,1,162.5,13.7
14,O:AAPL230922C00165000,0.0007420091324200913,0.06770538243626062,9.8839,1,165.0,9.21
15,O:AAPL230922C00167500,0.0007420091324200913,0.06190346332151623,8.2274,1,167.5,6.4
16,O:AAPL230922C00170000,0.0007420091324200913,0.10927822772748928,5.6359,1,170.0,5.0
17,O:AAPL230922C00172500,0.0007420091324200913,0.12756446076474814,2.6622,1,172.5,2.37
18,O:AAPL230922C00175000,0.0007420091324200913,0.3447851059740571,0.6931,1,175.0,0.58
19,O:AAPL230922C00177500,0.0007420091324200913,0.189329335017643,0.0771,1,177.5,0.06
20,O:AAPL230922C00180000,0.0007420091324200913,0.0355253622610067,0.0122,1,180.0,0.02
21,O:AAPL230922C00182500,0.0007420091324200913,0.06371844711513049,0.0105,1,182.5,0.01
22,O:AAPL230922C00185000,0.0007420091324200913,0.00894326522277079,0.01,1,185.0,0.01
23,O:AAPL230922C00187500,0.0007420091324200913,0.007088753350965258,0.01,1,187.5,0.01
24,O:AAPL230922C00190000,0.0007420091324200913,0.00828115532215714,0.01,1,190.0,0.01
25,O:AAPL230922C00192500,0.0007420091324200913,0.005054278556673846,0.01,1,192.5,0.01
26,O:AAPL230922C00195000,0.0007420091324200913,0.004120462946131006,0.01,1,195.0,0.01
27,O:AAPL230922C00197500,0.0007420091324200913,0.0045725646123260435,0.01,2,197.5,0.01
28,O:AAPL230922C00200000,0.0007420091324200913,0.0026718659734257656,0.01,1,200.0,0.01
29,O:AAPL230922C00205000,0.0007420091324200913,0.047244094488188976,0.01,1,205.0,0.01
30,O:AAPL230922C00210000,0.0007420091324200913,0.001326259946949602,0.01,2,210.0,0.01
31,O:AAPL230922P00148000,0.0007420091324200913,0.0010706638115631692,0.01,3,148.0,0.01
32,O:AAPL230922P00149000,0.0007420091324200913,0.018259281801582473,0.01,3,149.0,0.01
33,O:AAPL230922P00150000,0.0007420091324200913,0.0002820078962210942,0.01,1,150.0,0.01
34,O:AAPL230922P00152500,0.0007420091324200913,0.030562347188264057,0.01,1,152.5,0.01
35,O:AAPL230922P00155000,0.0007420091324200913,0.007616200441312549,0.01,1,155.0,0.01
36,O:AAPL230922P00157500,0.0007420091324200913,0.006283169645580431,0.01,1,157.5,0.01
37,O:AAPL230922P00160000,0.0007420091324200913,0.015618540125867058,0.01,1,160.0,0.01
38,O:AAPL230922P00162500,0.0007420091324200913,0.021492816259782735,0.01,1,162.5,0.01
39,O:AAPL230922P00165000,0.0007420091324200913,0.029260836335844524,0.011,1,165.0,0.02
40,O:AAPL230922P00167500,0.0007420091324200913,0.01830725637550819,0.0142,1,167.5,0.03
41,O:AAPL230922P00170000,0.0007420091324200913,0.12273799210703629,0.0234,1,170.0,0.05
42,O:AAPL230922P00172500,0.0007420091324200913,0.14160530721731146,0.0829,1,172.5,0.15
43,O:AAPL230922P00175000,0.0007420091324200913,0.284830623033216,0.1918,1,175.0,0.93
44,O:AAPL230922P00177500,0.0007420091324200913,0.07199945606907923,1.4579,1,177.5,2.94
45,O:AAPL230922P00180000,0.0007420091324200913,0.025329012631439718,4.3427,1,180.0,5.41
