,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL240412C00140000,0.010958904109589041,0.05555555555555555,28.85,3,140.0,28.85
1,O:AAPL240412C00150000,0.010958904109589041,0.08365758754863813,18.93,3,150.0,19.35
2,O:AAPL240412C00152500,0.010958904109589041,0.8428571428571429,16.74,3,152.5,16.74
3,O:AAPL240412C00155000,0.010958904109589041,0.07472527472527472,13.7971,3,155.0,14.2
4,O:AAPL240412C00157500,0.010958904109589041,0.27350427350427353,11.5383,3,157.5,11.55
5,O:AAPL240412C00160000,0.010958904109589041,0.13561667531568933,8.8767,3,160.0,9.85
6,O:AAPL240412C00162500,0.010958904109589041,0.06287726358148893,6.5617,3,162.5,7.05
7,O:AAPL240412C00165000,0.010958904109589041,0.07405033791656956,4.3126,3,165.0,4.75
8,O:AAPL240412C00167500,0.010958904109589041,0.1269889311656866,2.4968,3,167.5,2.94
9,O:AAPL240412C00170000,0.010958904109589041,0.12202956221767468,1.1935,3,170.0,1.47
10,O:AAPL240412C00172500,0.010958904109589041,0.07494805496266185,0.4482,3,172.5,0.6
11,O:AAPL240412C00175000,0.010958904109589041,0.038213713966794585,0.1395,3,175.0,0.17
12,O:AAPL240412C00177500,0.010958904109589041,0.01424336380145431,0.0484,3,177.5,0.07
13,O:AAPL240412C00180000,0.010958904109589041,0.029949764719813008,0.0229,3,180.0,0.04
14,O:AAPL240412C00182500,0.010958904109589041,0.04675981956210804,0.0106,3,182.5,0.03
15,O:AAPL240412C00185000,0.010958904109589041,0.03647189061424767,0.0104,3,185.0,0.02
16,O:AAPL240412C00187500,0.010958904109589041,0.03884462151394422,0.01,3,187.5,0.01
17,O:AAPL240412C00190000,0.010958904109589041,0.1695627802690583,0.0107,3,190.0,0.02
18,O:AAPL240412C00192500,0.010958904109589041,0.0052173913043478265,0.0133,3,192.5,0.02
19,O:AAPL240412C00195000,0.010958904109589041,0.023376623376623377,0.01,3,195.0,0.01
20,O:AAPL240412C00200000,0.010958904109589041,0.01394700139470014,0.011,3,200.0,0.01
21,O:AAPL240412C00205000,0.010958904109589041,0.03571428571428571,0.01,3,205.0,0.01
22,O:AAPL240412C00220000,0.010958904109589041,0.38461538461538464,0.01,3,220.0,0.01
23,O:AAPL240412C00265000,0.010958904109589041,0.2857142857142857,0.01,3,265.0,0.01
24,O:AAPL240412P00125000,0.010958904109589041,0.007246376811594203,0.01,3,125.0,0.01
25,O:AAPL240412P00130000,0.010958904109589041,0.45161290322580644,0.0171,3,130.0,0.02
26,O:AAPL240412P00135000,0.010958904109589041,0.04044117647058824,0.01,3,135.0,0.01
27,O:AAPL240412P00140000,0.010958904109589041,0.2434017595307918,0.01,3,140.0,0.01
28,O:AAPL240412P00144000,0.010958904109589041,0.2658662092624357,0.0124,3,144.0,0.02
29,O:AAPL240412P00145000,0.010958904109589041,0.2802139037433155,0.0104,3,145.0,0.01
30,O:AAPL240412P00146000,0.010958904109589041,0.004048582995951417,0.01,3,146.0,0.01
31,O:AAPL240412P00147000,0.010958904109589041,0.3149113660062565,0.0219,3,147.0,0.02
32,O:AAPL240412P00148000,0.010958904109589041,0.045307443365695796,0.0218,3,148.0,0.02
33,O:AAPL240412P00149000,0.010958904109589041,0.2868217054263566,0.0205,3,149.0,0.02
34,O:AAPL240412P00150000,0.010958904109589041,0.19323076923076923,0.0216,3,150.0,0.04
35,O:AAPL240412P00152500,0.010958904109589041,0.06627131208302446,0.0375,3,152.5,0.04
36,O:AAPL240412P00155000,0.010958904109589041,0.06129712628526233,0.053,3,155.0,0.06
37,O:AAPL240412P00157500,0.010958904109589041,0.2808391860255718,0.0834,3,157.5,0.07
38,O:AAPL240412P00160000,0.010958904109589041,0.1667791381471127,0.1158,3,160.0,0.13
39,O:AAPL240412P00162500,0.010958904109589041,0.21693085069564616,0.2125,3,162.5,0.25
40,O:AAPL240412P00165000,0.010958904109589041,0.1357883483968393,0.5127,3,165.0,0.51
41,O:AAPL240412P00167500,0.010958904109589041,0.1432703822167848,1.1679,3,167.5,1.17
42,O:AAPL240412P00170000,0.010958904109589041,0.07066653221740446,2.3288,3,170.0,2.2
43,O:AAPL240412P00172500,0.010958904109589041,0.03469873687799352,4.1027,3,172.5,4.05
44,O:AAPL240412P00175000,0.010958904109589041,0.021435986847578775,6.3762,3,175.0,6.25
45,O:AAPL240412P00177500,0.010958904109589041,0.0006000731796560557,8.742,3,177.5,9.05
46,O:AAPL240412P00180000,0.010958904109589041,0.17533590528136225,11.3172,3,180.0,11.7
47,O:AAPL240412P00185000,0.010958904109589041,0.0999129299085764,16.2891,3,185.0,16.0
48,O:AAPL240412P00190000,0.010958904109589041,0.09238665526090675,21.2788,3,190.0,21.0
