,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230922C00050000,0.00821917808219178,0.08205128205128205,128.3844,1,50.0,128.25
1,O:AAPL230922C00060000,0.00821917808219178,0.16326530612244897,118.1875,1,60.0,117.95
2,O:AAPL230922C00065000,0.00821917808219178,0.19333333333333333,113.2052,1,65.0,113.0
3,O:AAPL230922C00120000,0.00821917808219178,0.23529411764705882,58.35,1,120.0,58.35
4,O:AAPL230922C00125000,0.00821917808219178,0.08,54.1,1,125.0,54.1
5,O:AAPL230922C00130000,0.00821917808219178,0.14285714285714285,48.2067,1,130.0,48.2
6,O:AAPL230922C00140000,0.00821917808219178,0.008064516129032258,37.75,1,140.0,37.75
7,O:AAPL230922C00145000,0.00821917808219178,0.021739130434782608,33.25,1,145.0,33.25
8,O:AAPL230922C00150000,0.00821917808219178,0.045454545454545456,28.3031,1,150.0,28.6
9,O:AAPL230922C00152500,0.00821917808219178,0.00508646998982706,26.1,1,152.5,26.1
10,O:AAPL230922C00155000,0.00821917808219178,0.04060248853962017,23.7868,1,155.0,23.64
11,O:AAPL230922C00157500,0.00821917808219178,0.046750285062713795,20.9837,1,157.5,20.6
12,O:AAPL230922C00160000,0.00821917808219178,0.11838006230529595,18.447,1,160.0,17.65
13,O:AAPL230922C00162500,0.00821917808219178,0.18164794007490637,15.8362,1,162.5,15.6
14,O:AAPL230922C00165000,0.00821917808219178,0.057790368271954676,13.4697,1,165.0,13.0
15,O:AAPL230922C00167500,0.00821917808219178,0.048541041723479686,10.9346,1,167.5,10.5
16,O:AAPL230922C00170000,0.00821917808219178,0.08658885183420677,8.3067,1,170.0,8.05
17,O:AAPL230922C00172500,0.00821917808219178,0.04598068172746867,6.0919,1,172.5,5.45
18,O:AAPL230922C00175000,0.00821917808219178,0.027316636682430707,3.9132,1,175.0,3.4
19,O:AAPL230922C00177500,0.00821917808219178,0.1005171957011707,2.0718,1,177.5,1.7
20,O:AAPL230922C00180000,0.00821917808219178,0.2066779253035203,0.8931,1,180.0,0.69
21,O:AAPL230922C00182500,0.00821917808219178,0.16042536628496465,0.3119,1,182.5,0.23
22,O:AAPL230922C00185000,0.00821917808219178,0.15631794539142552,0.1018,1,185.0,0.08
23,O:AAPL230922C00187500,0.00821917808219178,0.06471635990716251,0.0409,1,187.5,0.05
24,O:AAPL230922C00190000,0.00821917808219178,0.06076472507496543,0.0218,1,190.0,0.03
25,O:AAPL230922C00192500,0.00821917808219178,0.11325978991781303,0.011,1,192.5,0.02
26,O:AAPL230922C00195000,0.00821917808219178,0.0927710113312731,0.0101,1,195.0,0.01
27,O:AAPL230922C00197500,0.00821917808219178,0.007355864811133201,0.01,1,197.5,0.01
28,O:AAPL230922C00200000,0.00821917808219178,0.010543038705950318,0.01,1,200.0,0.01
29,O:AAPL230922C00205000,0.00821917808219178,0.008858267716535433,0.01,1,205.0,0.01
30,O:AAPL230922C00265000,0.00821917808219178,0.35714285714285715,0.01,1,265.0,0.01
31,O:AAPL230922P00140000,0.00821917808219178,0.010456273764258554,0.01,1,140.0,0.01
32,O:AAPL230922P00145000,0.00821917808219178,0.004955401387512388,0.01,1,145.0,0.01
33,O:AAPL230922P00147000,0.00821917808219178,0.0112,0.01,1,147.0,0.01
34,O:AAPL230922P00148000,0.00821917808219178,0.11777301927194861,0.01,1,148.0,0.01
35,O:AAPL230922P00149000,0.00821917808219178,0.009738283627510651,0.01,1,149.0,0.01
36,O:AAPL230922P00150000,0.00821917808219178,0.08135927805978567,0.01,1,150.0,0.01
37,O:AAPL230922P00152500,0.00821917808219178,0.23685819070904646,0.0102,1,152.5,0.02
38,O:AAPL230922P00155000,0.00821917808219178,0.05858068189906755,0.0152,1,155.0,0.01
39,O:AAPL230922P00157500,0.00821917808219178,0.006954187763069603,0.0213,1,157.5,0.03
40,O:AAPL230922P00160000,0.00821917808219178,0.03399329321512242,0.0353,1,160.0,0.04
41,O:AAPL230922P00162500,0.00821917808219178,0.020675154771638827,0.0356,1,162.5,0.04
42,O:AAPL230922P00165000,0.00821917808219178,0.05342650216544746,0.0565,1,165.0,0.08
43,O:AAPL230922P00167500,0.00821917808219178,0.07160280891955156,0.0838,1,167.5,0.09
44,O:AAPL230922P00170000,0.00821917808219178,0.0557741361054962,0.1259,1,170.0,0.16
45,O:AAPL230922P00172500,0.00821917808219178,0.04030370677084271,0.2485,1,172.5,0.31
46,O:AAPL230922P00175000,0.00821917808219178,0.0870293914005517,0.5799,1,175.0,0.71
47,O:AAPL230922P00177500,0.00821917808219178,0.19615848787204024,1.2242,1,177.5,1.55
48,O:AAPL230922P00180000,0.00821917808219178,0.23525466002815384,2.3964,1,180.0,3.07
49,O:AAPL230922P00182500,0.00821917808219178,0.23015629788538156,4.3966,1,182.5,5.15
50,O:AAPL230922P00185000,0.00821917808219178,0.2825122762553461,6.048,1,185.0,7.49
51,O:AAPL230922P00187500,0.00821917808219178,0.08342612419700214,8.7813,1,187.5,9.47
